id,genres,cast,writers,production_companies,director,producers,original_language,runtime,rating,main_genre,lang,cast_count,writers_count,director_known
4226,Comedy,"Dan Seymour, David Hoffman, Sig Ruman, Harro Meller, Frederick Giermann, Ruth Roman, Lisette Verea, Arthur Tovey, Chico Marx, Groucho Marx, Charles Drake, Paul Harvey, Lois Collier, Lewis L. Russell, Harpo Marx","Roland Kibbee, Joseph Fields","Loma Vista Productions, Castle Hill Productions, United Artists",Archie Mayo,Joe C. Gilpin,en,85,6.833,Comedy,en,15,2,1
4227,Drama,"Anthony Harrison, Nicole Oliver, Dakota Daulby, Merrilyn Gann, Stephen E. Miller, John Ratzenberger","Thomas Makowski, Jack Nasser",NGN Productions,Terry Ingram,"Joseph Nasser, Dion York Foley, Dureyshevar, Jack Nasser",en,96,6.4,Drama,en,6,2,1
4228,"Comedy, Romance","Cecil Kellaway, William Bendix, Hazel Dohlman, Paulette Goddard, Gladys George, Ray Milland, Iris Adrian, Yvonne De Carlo, Virginia Field","Steven Vas, Virginia Van Upp",Paramount,Elliott Nugent,Buddy G. DeSylva,en,81,5.786,Comedy,en,9,2,1
4229,"Thriller, Crime, Drama","Robert Judd, William Sanderson, Reggie Rock Bythewood, Bonnie Martin, Richard A. Rubin, Nick Hardin, Daniel Faraldo, David Cargill, Catherine Peppers, Lela Small, Ramon Saunders, Yvonne Ross, Peter Yoshida, David Dewlow",Straw Weisman,Fightin' Family Productions,Robert A. Endelson,"Richard Endelson, Robert A. Endelson, William Mishkin, Straw Weisman",en,82,6.147,Thriller,en,14,1,1
4230,"Horror, Comedy","Aaron McKenna, Samantha Kirchoff, Max Stifter, Nathan Strauss, Josh Stifter, Kim Fagan, Daniel Degnan, Keith Radichel","Josh Stifter, Daniel Degnan","Flush Studios, Terror Films",Josh Stifter,Josh Stifter,en,85,4.5,Horror,en,8,2,1
4231,"Documentary, Music","Florian Schneider, Ralf Hütter, Fritz Hilpert, Henning Schmitz",Unknown,Kling Klang Produkt,"Florian Schneider, Ralf Hütter, Henning Schmitz, Fritz Hilpert","Florian Schneider, Ralf Hütter",de,126,7.4,Documentary,de,4,0,1
4232,"Action, Crime","Edouard DeSoto, Angelo Florio, Steve Love, Rockets Redglare, Peter Lopez, Jay Boryea, Jason Gedrick, Woodrow W. Asai, Cynthia Elane, Allen Payne, Paul Herman, Edythe Jason, Jed James, Daniel O'Shea, Alexis Cruz, Lauren Tom, Diane Lozada, Eddie Velez, Tisha Campbell, Rafael Báez, Herb Kerr III, Jamie Tirelli, Luis Guzmán, Robert LaSardo, Stuart Rudin, Robert Weil, Imani Parks, George Gerard, Kurt D. Lott, Troy Byer, Bruce Smolanoff, Jose Ynoa, John Canada Terrell, Millie Tirelli, Coley Wallace","Terence Brennan, Tony Mark, Allan A. Goldstein","Koch Company, Mark/Jett Productions, New Visions Pictures",Robert Wise,"Hawk Koch, Stuart Benjamin, Taylor Hackford",en,98,4.846,Action,en,35,3,1
4233,"Crime, Mystery, Western","Leticia Vacek, Brent Rock, George Hardy, Becka Jamison, Gene Jones, Gloria Puente, Jason Douglas, Terri Merritt Bennett, Dannie McCallum, Beau Smith, Tiffany Shepis, Juliette Danielle, Judd Lormand, Gail Cronauer, Lew Temple, Michelle Sherrill",Unknown,Tyler Russell Productions,Tyler Russell,Unknown,en,88,4.313,Crime,en,16,0,1
4234,"Comedy, Family, Science Fiction, TV Movie","Brandon Baker, Randy Quaid, Kenneth A. Brown, Patrick Renna, Jessica Alba, Cathy Moriarty, Henry Winkler, Tim Redwine","Mark Cramer, Sean McNamara","Unapix Entertainment Productions, Goldbar Entertainment, Osmosis",Sean McNamara,Patrick Peach,en,98,5.156,Comedy,en,8,2,1
4235,Horror,Unknown,Günther Brandl,Unknown,Günther Brandl,Unknown,de,110,2.0,Horror,de,0,1,1
4236,Western,"Christian Benz Belnavis, Marilyn Monrovia, Cheryl Rusa, Nicole Rodan, Richard J. Cook, Wes Robertson, Tommy Hocutt, Chris Romano, Tom Berenger, Angelique Kenney, Jamie McShane, Burns Burns, Aileen Talamantes, Gregory K. Worley, Steven M. Porter, Meg Chambers Steedle, Larry Poole, Shawn Patrick Nash, Lee Ellis, Brent Chase, Cait Chapin, Kayla Swift, Nikki Pelley, Nick George, Danny Trejo, Carter Hastings, Billy Lush, Jackson A. Dunn, Richard Hocutt, Lance Henriksen, Steve Railsback, Nellie Barnett, Lulu Wilson",Gregory M. Tucker,"Oculi Entertainment, Directional Entertainment",Mark Landre Gould,"Gregory M. Tucker, Stacie M. Tucker, Lawrence Mortorff, Nicole Rodan, Richard J. Cook, Mark Landre Gould, Richard Hocutt",en,99,5.707,Western,en,33,1,1
4237,"Comedy, Romance","Doug Jones, Christine Taylor, Jessica Lundy, Shawnee Free Jones, Kim Kim, Ron Jeremy, Chasey Lain, Jessica Capshaw, Leah Lail, Richard Hillman, Al Goldstein, Amy Yasbeck, Angie Everhart, Hudson Leick, Ryan Alosio, Jonathan Silverman, Adam Rifkin, Janine Lindemulder, Patrick Dempsey, Doran Clark, Jason Alexander",Adam Rifkin,Tapestry Films,Adam Rifkin,"Louise Rosner-Meyer, Peter Abrams, Brad Wyman",en,93,5.2,Comedy,en,21,1,1
4238,"Comedy, Crime","Gerry Bean, Lloyd Berry, Frank Totino, Rick Poltaruk, Sylvain Demers, Jack Ackroyd, Jessica Jickels, Jay Brazeau, Hoyt Axton, Bruno Kirby, James Russo, James Kidnie, John C. Reilly, Matthew Walker, Robert De Niro, Cory Dagg, David McLeod, Sean Penn, Antony Holland, Elizabeth Lawrence, Sean Hoy, Sheelah Megill, Karen Elizabeth Austin, Ken Buhay, Bill Murdoch, Garwin Sanford, Frank C. Turner, Ray McAnally, Wallace Shawn, Richard Newman, Demi Moore","Ranald MacDougall, David Mamet, Albert Husson, Sam Spewack, Bella Spewack",Paramount,Neil Jordan,"Art Linson, Robert De Niro",en,106,6.172,Comedy,en,31,5,1
4239,"War, Drama","Olga Politou, George Foundas, Gelly Mavropoulou, Nikos Apergis, Hristos Nomikos, Nikos Papahristos, Mary Vidali",Unknown,Unknown,"Nikos Foskolos, Takis Vougiouklakis",Unknown,el,98,7.25,War,el,7,0,1
4240,Comedy,"Robert Giggenbach, Teresa Rizos, Yvonne Catterfeld, Friedrich Mücke, Benjamin Sadler, Jule Ronstedt, Eckhard Preuß, Jochen Nickel, Julia Koschitz","Eckhard Preuß, Butz Ulrich Buse",Entertainment Factory,Eckhard Preuß,Unknown,de,86,3.0,Comedy,de,9,2,1
4241,"Thriller, Drama","Mario Van Peebles, Saye Yabandeh, Travis Johns, Vince Lozano, Corey Sevier, Rome Shadanloo",Corey Druskin,"Leo Entertainment, 4th & Alameda Picture Company, APT. 1B Productions",Richard Friedman,"Saye Yabandeh, Lawreen E. Kayl, Richard Friedman",en,123,6.0,Thriller,en,6,1,1
4242,"Drama, Thriller, TV Movie","Tomoko Siu, Nicole Mauffrey, Alexandra Paul, Ksenia Solo, James Binkley, John Bourgeois, Michelle Killoran, Shannon Lawson, Sean Baek, Justine Campbell, Paul Stephen, Scott Wickware, Rod Crawford, Barbara Gordon, John Jarvis, Diego Fuentes, Gary Hudson, Ricardo Betancourt",Kraig Wenman,LTN Productions Inc.,Paul Schneider,"Fernando Szew, Julian Grant, Michael Jacobs",en,89,5.455,Drama,en,18,1,1
4243,"Comedy, Fantasy, Action, Horror","Wong Shu-Tong, Hiro Hayama, Ronald Cheng, Michelle Hu, Philip Keung Ho-Man, Bella Law, Ben Cheung Ka-Lun, Sean Tierney, Bonnie Wong, Kelvin Kwan, Winnie Leung, Philip Ng Wan-Lung, Jiang Luxia, Ricky Yi Fan-Wai, Yuen Biao, Edward Ma, Tony Ho",Wong Jing,"See Movie Limited, Mega-Vision Pictures (MVP)",Daniel Chan Yee-Heng,Wong Jing,cn,96,5.4,Comedy,cn,17,1,1
4244,Unknown,"Gabino Rodríguez, Ammel Rodrigo Mendoza, Arturo Farfán, Iván Cortes",Unknown,"Agrupación Caramelo Cinematográfica, Centro de Capacitación Cinematográfica (CCC), La Maroma Producciones",Bernardo Arellano,Unknown,es,65,5.0,Unknown,es,4,0,1
4245,Western,"Noble 'Kid' Chissell, Rita Rogers, Vaughn Taylor, Frank McGrath, Chad Everett, James J. Casino, Jorge Moreno, Evan James, Jack Elam, Lars Hensen, Robert Sorrells, Kevin Hagen, Eumenio Blanco, Jay Erwin, Frank Kennedy, Gary Merrill, John Milford, Marian Collier, Henry O'Brien, George Little Buffalo, Glenn Ford, Fermin Garcia, Angie Dickinson, Len Lesser, Wendell Baker, Eddie Little Sky, Amanda Randolph, Florence Sundstrom, Budd Landreth, Letitia Paquette, Mark Allen, Bud Cokes, Russ White, Roberto Contreras, J. Edward McKinley, Delphi Lawrence, Jimmie Horan, Jack Big Head, Bill Walker, Tina Menard, Bill Hart, Ramon Martinez, Tony Fraser, George Tracy, Bob Whitney, Beverly Powers, Alberto Piña, Colette Jackson, Ken Mayer, Royal Dano","Robert Emmett Ginna, Albert Maltz, John Sherry",Metro-Goldwyn-Mayer,Richard Thorpe,Richard Thorpe,en,105,6.4,Western,en,50,3,1
4246,"Crime, Thriller","Mils Cooper, Roberto Messina, Mario Lanfranchi, Lang Jeffries, Enrico Canestrini, Aldo Bonamano, Antonella Murgia, Massimo Righi, Lilia Neyung, Krista Nell, Ivan Desny, Rossella Bergamonti, Giovanni Ivan Scratuglia, Carla Calò, Andrea Scotti, Giorgio Cerioni, Gianni Solaro, Nathalie Nort",Roberto Gianviti,"Compagnie Européenne de Cinematographie, Fono Roma, Wonder Films",Osvaldo Civirani,Osvaldo Civirani,fr,84,7.0,Crime,fr,18,1,1
4247,Documentary,Unknown,Unknown,Flying Car Pictures,Joseph Granato IV,Unknown,en,110,6.8,Documentary,en,0,0,1
4248,"Drama, Thriller","Heath Lamberts, Alan Alda, Blythe Danner, Eric Clavering","George Bloomfield, Algis Budrys, I.C. Rapoport","20th Century Fox, Palomar Pictures International",George Bloomfield,"Edgar J. Scherick, Theodore B. Sills",en,104,5.6,Drama,en,4,3,1
4249,Horror,"Grant Nickalls, Dylan Everett, Jeff Clarke, Debra Hale, Jake Manley, Clark Backo, Jacinda Barrett, Claire Rankin, Milton Barnes, Gage Munroe, Vinson Tran, Haley Ramm, Travis Tope, Paulino Nunes, Gary Cole",Chris Eigeman,Blumhouse Productions,Chris Eigeman,Unknown,en,94,5.871,Horror,en,15,1,1
4250,Documentary,"Rachel Aimee, Annie Sprinkle",Unknown,Unknown,Amy Oden,Amy Oden,en,63,1.0,Documentary,en,2,0,1
4251,"Action, Drama","Chandramohan, Sanghavi, Sameer Hasan, Satya Prakash, Harikrishna Nandamuri, Ilavarasi, Manya, Kota Srinivasa Rao, Brahmaji, Banerjee, Prasad Babu, Vivek Vasu, Nirmalamma, Ahuti Prasad, Sivaji Sontineni, Ravi Teja, Nagarjuna Akkineni, Sakshi Shivananda","Y. V. S. Chowdary, Posani Krishna Murali",Annapurna Studios,Y. V. S. Chowdary,"Nagarjuna Akkineni, D. Sivaprasad Reddy",te,166,6.5,Action,te,18,2,1
4252,Drama,"Sergey Frolov, Devid Striesow, Julia Krynke, Zbigniew Zamachowski, Aleksandra Justa, Alice Dwyer, Claudia Geisler-Bading, Herbert Knaup, Maria Simon, Marysia Zamachowska, Janek Rieke, Sebastian Urzendowsky, August Diehl, Ivan Shvedoff, Anna Yanovskaya, Tom Jahn, Martin Kiefer, Henry Hübchen","Michael Gutmann, Hans-Christian Schmid","Claussen+Wöbke Filmproduktion, ZDF",Hans-Christian Schmid,"Jakob Claussen, Thomas Wöbke",de,105,7.4,Drama,de,18,2,1
4253,Comedy,"Ai Kato, Masumi Nomura, Mirei Kiritani, Yûko Takeuchi, Reina Triendl, Yoshiko Miyazaki, Erika Asakura, Eiichiro Funakoshi, Michiko Kichise, Osamu Mukai",Shogo Kashida,Nippon Television Network Corporation,Satoru Nakajima,Unknown,ja,114,6.5,Comedy,ja,10,1,1
4254,"Comedy, Romance","Mary Coleston, Krystina Carson, Alan Gelfant, Laurel Green, Timothy McNeil, Beth Ulrich, Rick Peters, Anne-Marie Johnson, Michael J. Saul, Manuel Cabral, Mark Ruffalo","Dan Bootzin, Elizabeth Rivera Bootzin",Six Feet Under Films,Dan Bootzin,Elizabeth Rivera Bootzin,en,86,3.8,Comedy,en,11,2,1
4255,Unknown,"Carlos Maycotte, Leticia Perdigón, Raúl Padilla",Unknown,Unknown,Unknown,Unknown,en,85,5.0,Unknown,en,3,0,0
4256,"Action, Adventure, Animation, Science Fiction","Jeff Bennett, Gina Torres, Cedric Yarbrough, Chris Noth, Jonathan Adams, Freddi Rogers, Bruce Timm, James Woods, Jim Meskimen, Nolan North, Josh Keaton, Vanessa Marshall, Kari Wuhrer, Brian Bloom, William Baldwin, Mark Harmon, Andrea Romano, Carlos Alazraqui, James Patrick Stuart, Bruce Davison","Dwayne McDuffie, Rick Morales, Jay Oliva","Warner Premiere, Warner Bros. Animation, DC Comics","Lauren Montgomery, Sam Liu",Bruce Timm,en,75,7.31,Action,en,20,3,1
4257,Comedy,"Glee Dango, Brett Dier, Veronica St. Clair, Julius Cho, Nicolette Pearse, Mylene Carino, Evangelia Kambites, Molly McCook",Sono Patel,"Cranium Entertainment, MarVista Entertainment, Neshama Entertainment, 1Department Entertainment Services",Cameron Fay,"Hannah Pillemer, Larry Grimaldi, Fernando Szew, Angie Day, Arnie Zipursky, Sono Patel, Keith Nietupski, Suzanne L. Berger, Heidi Jo Markel, Ash Christian",en,85,5.0,Comedy,en,8,1,1
4258,Crime,"Monica Teuber, Alexander Allerson, Evelyn Künneke, Karin Heske, Walter Kraus, Margot Hildenbrand, Rolf von Nauckhoff",Unknown,Unknown,Günter Schlesinger,Unknown,de,88,4.0,Crime,de,7,0,1
4259,Documentary,"Leonor Rainer, Corinne Fontaine, Joan Clair, Rita Himalaya, Gerry Sammer, Maureen Verrich, Bud Thompson, Dominique, Joanna Negulesco, Carol Carter, Violeta Montenegro",Marcello Martinelli,"Les Films Marbeuf, Produzione Gino Mordini",Marcello Martinelli,Giorgio Mordini,it,100,2.0,Documentary,it,11,1,1
4260,"Comedy, Drama","Martha Valdés, Wolf Ruvinskis, Conchita Gentil Arcos, Mario Humberto Jiménez Pons, Lidia Franco, Salvador Godínez, Amparo Arozamena, Domingo Soler, Maria Luisa Cortés, Cantinflas, Enrique Carrillo, Arturo Martínez, León Barroso, Salvador Terroba, Anabel Gutiérrez, Héctor Mateos, José Muñoz, Emma Roldán, Josefina Burgos, José Pardavé, Salvador Quiroz, Daniel Arroyo, Guillermo Hernández, Roberto Meyer, Miguel Arenas, Ernesto Finance, Pedro Elviro, Patricia de Morelos, Carlota Solares, Manuel Casanueva, Ángel Garasa, Jesús Gómez, Lupe Carriles, Antonio «Pícoro» Padilla, Leonor Gómez, Alfonso Carti, Victorio Blanco","Jaime Salvador, Miguel M. Delgado",POSA Films,Miguel M. Delgado,Jacques Gelman,es,100,6.75,Comedy,es,37,2,1
4261,Drama,"Lana Barić, Linda Begonja, Vojislav Brajović, Nataša Janjić Medančić, Krunoslav Šarić, Damir Markovina, Vedran Mlikota, Helena Beljan, Ana Begić, Nataša Dorčić, Goran Hajduković, Nikša Kušelj, Sebastian Cavazza",Ivona Juka,"4 Film, Vertigo/Emotionfilm, Sloane Film Production, Gallileo",Ivona Juka,Unknown,hr,155,6.6,Drama,hr,13,1,1
4262,Documentary,"Rebeca Huntt, Juancarlos Huntt, Raquel Huntt",Rebeca Huntt,Onyx Collective,Rebeca Huntt,"Alessandra Orofino, Joy Bryant, Sofia Geld, Rebeca Huntt, Alyse Ardell Spiegel, Petra Costa, Inuka Bacote",en,80,6.5,Documentary,en,3,1,1
4263,Comedy,"Antonio Mambretti, Ettore Geri, Ugo Silvestri, Alceo Barnabei, Alfio Vita, Arnaldo Caivano, Elena Nicolai, Sandro Merli, Sandra Verani, Maria Grazia Buccella, John Karlsen, Federico Giordano, Alberto Sordi, Gianna Maria Canale, Gloria Cervi, Mariolina Bovo",Cesare Zavattini,DDL Cinematografica,Vittorio De Sica,Dino De Laurentiis,it,89,6.837,Comedy,it,16,1,1
4264,"Horror, Mystery","Anna Paquin, Marielle Jaffe, Nancy O'Dell, William Spencer, Wes Craven, Neve Campbell, Kristen Bell, Mark Aaron Buerkle, Alexander Punch, Julia Ho, John Lepard, Alison Brie, Emma Roberts, Marley Shelton, Shenae Grimes-Beech, David Arquette, Aimee Teegarden, Kim Adams, Adam Brody, Tim Doty, Lucy Hale, Erik Knudsen, Hayden Panettiere, Anthony Anderson, Dane Farwell, Justin Michael Brandt, Nico Tortorella, Gordon Michaels, Courteney Cox, Glenda Lewis, Rory Culkin, Britt Robertson, Devin Scillian, Roger L. Jackson, Mary McDonnell, Peter Carey",Kevin Williamson,"Dimension Films, Outerbanks Entertainment",Wes Craven,"Bob Weinstein, Matthew Stein, Ron Schmidt, Ehren Kruger, Kevin Williamson, Harvey Weinstein, Wes Craven, Marianne Maddalena, Iya Labunka, Cathy Konrad",en,111,6.463,Horror,en,36,1,1
4265,Documentary,"Boris Yeltsin, Mikhail Gorbachev, Vytautas Landsbergis, Algirdas Brazauskas","Sergei Loznitsa, Vytautas Landsbergis","Studio Uljana Kim, Atoms & Void, Current Time TV",Sergei Loznitsa,"Maria Choustova, Uljana Kim, Sergei Loznitsa",lt,246,8.2,Documentary,lt,4,2,1
4266,Comedy,"Anne-France Mayon, Jacques Pater, Élie Kakou, Vincent Nemeth, Jean-Roger Milo, Patrick Paroux, Marina Tomé, Michel Scourneau, Philippe Nahon, Éric Le Roch, Nathalie Jouin, Laurence Bibot, Hélène Vincent, Ticky Holgado, Daniel Berlioux",Unknown,Unknown,Christophe Jacrot,Unknown,fr,86,5.0,Comedy,fr,15,0,1
4267,Documentary,Unknown,Unknown,Unknown,Yan Ting Yuen,Unknown,en,79,6.0,Documentary,en,0,0,1
4268,"Action, Drama, History","Matagoro Nakamura III, Ken Nishida, Masaomi Kondo, Yoshi Katō, Nobuo Kaneko, Mikio Narita, Jun Fujimaki, Sanae Nakahara, Maki Tachibana, Shōji Yasui, Kinnosuke Nakamura, Takuya Fujioka, Seizō Fukumoto, Shinsuke Ashida, Kensaku Morita, Mizuho Suzuki, Toru Minegishi, Ryō Nishida, Hiroki Matsukata, Mariko Okada, Harumi Sone, Junkichi Orimoto, Shinsuke Mikimoto, Tsunehiko Watase, Go Wakabayashi, Kyōko Enami, Sonny Chiba, Minori Terada, Mieko Harada, Teruhiko Saigō, Hideji Ōtaki, Ryo Tamura, Toshirō Mifune, Yoshiko Mita, Yoko Natsuki, Tetsurō Tamba, Yûsuke Satô",Kōji Takada,Toei Company,Kinji Fukasaku,Unknown,ja,159,6.8,Action,ja,37,1,1
4269,"Crime, Drama, Thriller","Barbara Kolodziejska, Kinga Preis, Małgorzata Buczkowska, Anna Lenartowicz, Redbad Klynstra-Komarnicki, Jerzy Fedorowicz, Jakub Snochowski, Urszula Bartos-Gesikowska, Artur Steranko","Ewa Piaskowska, Jerzy Skolimowski","Alfama Films, Skopia Film",Jerzy Skolimowski,"Jerzy Skolimowski, Paulo Branco",pl,87,6.1,Crime,pl,9,2,1
4270,"Action, Crime","Cesare Danova, Connie Stevens, Nick Dimitri, Norman Burton, William Smith, Greg Evigan, Nate Long, Joyce Jameson, John Davis Chandler, Ingrid Cedergren, Ray Sebastian",Howard Avedis,Hickmar Productions,Howard Avedis,"Howard Avedis, Marlene Schmidt",en,99,4.3,Action,en,11,1,1
4271,Music,"Alissa White-Gluz, Daniel Erlandsson, Sharlee D'Angelo, Michael Amott, Jeff Loomis",Unknown,Unknown,Patric Ullaeus,Unknown,en,73,9.0,Music,en,5,0,1
4272,"TV Movie, Drama","Charles Frank, Kevin McCarthy, Buddy Quaid, Morgan Brittany, Pat Hingle, Frances Conroy, R. G. Armstrong, Patti LuPone, Steven Clawson, Robin Curtis, James F. Kelly, Randy Quaid, Barry Corbin",Ken Trevey,"Fries Entertainment, Louis Rudolph Films, Brice Productions",Peter Werner,Unknown,en,155,7.5,TV Movie,en,13,1,1
4273,Documentary,"Judy Garland, Jason Stoval, Aaron Moorhead, Jack Paar, Karyn Kusama, David Lynch, John Waters, Amy Nicholson, Jay Leno, Justin Benson, David Lowery, Rodney Ascher",Alexandre O. Philippe,Exhibit A Pictures,Alexandre O. Philippe,"Kerry Deignan Roy, Oli Harbottle, Anna Godas",en,108,6.7,Documentary,en,12,1,1
4274,Unknown,Unknown,"Amit Dutta, Ayswarya Sankaranarayanan",Unknown,Amit Dutta,Amit Dutta,hi,72,6.8,Unknown,hi,0,2,1
4275,"Romance, Drama, Fantasy","Seo Jeong-yeon, Seo Young-sam, Lee You-jin, Lee Min-sung, Ko Chang-seok, Gong Hyo-jin, Son Yeo-eun, Jo Ha-seok, Son Ye-jin, Park Seo-jun, Shin Woo-hee, Lee Seung-joon-III, Kim Hyun-soo, So Ji-sub, Kim Ji-hwan, Bae Yoo-ram, Lee Jun-hyeok","Takuji Ichikawa, Kang Su-Jin, Kim Jae-joong, Lee Jang-hoon","Lotte Entertainment, Movierock, Studio By The Library, Green Tree Pictures",Lee Jang-hoon,"Kim Jae-joong, Cha Won-chun, Yang Soo-jung",ko,132,8.3,Romance,ko,17,4,1
4276,Unknown,"Consuelo Frank, Pedro Galindo, Víctor Junco, Crox Alvarado",Unknown,Unknown,Agustín P. Delgado,Unknown,es,85,6.0,Unknown,es,4,0,1
4277,"Adventure, Comedy","Kochu Preman, Rahul Rajagopal, Zhinz Shan, Surjith, Prasanth Alexander, Saritha Cukku",Krishand,Krishand Films,Krishand,Krishand,ml,123,5.0,Adventure,ml,6,1,1
4278,"Romance, Drama","Kei Otozuki, Kenjirô Yamashita, Mai Fukagawa, Sairi Ito, Sara Shida, Yuhi, Megumi Abe",Rikiya Imaizumi,Unknown,Rikiya Imaizumi,Yuko Aoki,ja,111,8.167,Romance,ja,7,1,1
4279,"Drama, Mystery, Thriller, TV Movie","Marie Stillin, Bobby Hosea, Candace Cameron Bure, Ellie Harvie, Gillian Barber, Teri Garr, Alex Bruhanski, Bill Dow, Carolyn Tweedle, Casper Van Dien, Ken Camroux-Taylor, Dwight McFee, Paul McGillion, Denis Arndt, Ned Vaughn","Robert Specht, Gary Tieche, Eugenia Bostwick-Singer, Raymond Singer","Von Zerneck Sertner Films, Frank & Bob Films II, NBC",Noel Nosseck,"Randy Sutter, Robert M. Sertner, Larry Strichman, Frank von Zerneck",en,87,3.6,Drama,en,15,4,1
4280,"Crime, Thriller","Marisa Mell, Juan Luis Galiardo, José Riesgo, Antonio Sempere, Manuel Alexandre, Rufino Inglés, Patrizia Adiutori, Juan Amigo, Eduardo Calvo, Gabriele Ferzetti, Jacinto San Emeterio, Ricardo G. Lilló, Alfredo Santacruz, José María Caffarel, Gogó Rojo, Loreta Tovar, Agustín Bescos, Helga Liné, Mary Begoña, Luis Gaspar","José Luis Martínez Mollá, Federico De Urrutia, Julio Buchs, Mino Roli, Domenico Comanducci","Juppiter Generale Cinematografica, Films Montana, Ízaro Films",Julio Buchs,Unknown,es,91,6.25,Crime,es,20,5,1
4281,Unknown,Marie Julia Bollansée,Marie Julia Bollansée,Unknown,Marie Julia Bollansée,Unknown,en,60,2.8,Unknown,en,1,1,1
4282,"Adventure, Science Fiction, Action, Horror","Sanaa Lathan, Adrian Bouchet, Jack Pierce, Jan Filipenský, Colin Salmon, Alex Lorre, Liz May Brice, Ewen Bremner, Alec Gillis, Joseph Balderrama, Tom Woodruff Jr., Agathe de La Boulaye, Glenn Conroy, Kieran Bew, Ian Whyte, Tommy Flanagan, Carsten Voigt, Pavel Bezděk, Joseph Rye, Sam Troughton, Carsten Norgaard, Raoul Bova, Lance Henriksen, Andy Lucas, Eoin McCarthy, Karima McAdams, Petr Jákl","Ronald Shusett, Paul W. S. Anderson, Dan O'Bannon, Jim Thomas, Marc Marcum, John Thomas","Revolution Sun Studios, Impact Pictures, Studio Babelsberg, Davis Entertainment, Stillking Films, Lonlink Productions, Kut Productions, Inside Track Films, Charenton Productions Limited, 20th Century Fox, Brandywine Productions",Paul W. S. Anderson,"David Giler, Wyck Godfrey, John Davis, Thomas M. Hammel, Mike Richardson, Gordon Carroll, Walter Hill",en,100,5.904,Adventure,en,27,6,1
4283,Thriller,"Roland Manookian, Louise Dylan, Josh Herdman, Colin Burt Vidler, Paul Anderson, Ed Skrein, Troy Glasgow, Jumayn Hunter, Martin Compston",Kieron Hawkes,"DP Films, Fulwell 73 Productions",Kieron Hawkes,Unknown,en,106,5.8,Thriller,en,9,1,1
4284,"Drama, Family","Maja Skovran, Aleksandar Berček, Lidija Pletl, Milena Dravić, Slobodan Negić, Marko Ratić, Radmila Živković, Slađana Radenković, Jovan Babić, Bogdan Diklić, Branko Vidaković, Nataša Lučanin, Dragoslav 'Dragan' Nikolić, Branislav Lečić, Sonja Savić","Svetozar Vlajković, Miloš 'Miša' Radivojević","Smart Egg Pictures, TRZ Ton i film, Croatia Film",Miloš 'Miša' Radivojević,Unknown,sh,94,6.8,Drama,sh,15,2,1
4285,"Documentary, Crime","Richard Brosal, James Galante, Rumun 'Nigerian Nightmare' Ndur, Gary Bettman, Phil Giubileo, David 'One Eyed Willy' Beauregard, Candace Galante, Mark Boughton, Greg St. Clair, Jeff Waterman, Brenda St. Clair, Drew Omicioli, John Gotti, John Cena, Louis DeLuca, Brad 'Wingnut' Wingfield, Mike Omicioli, Michael Rupp, Tommy 'T-Bone' Pomposello, Chyna, A.J. Galante, James Fox, Ed Adams, Richard Blumenthal, Josh Elzinga, Kevin J. O'Connor, Kelly Cobiella",Unknown,"Propagate Content, Stardust Frames, The Players' Tribune","Maclain Way, Chapman Way","Chapman Way, Isabel San Vargas, Talin Parseghian Middleton, Miguel Tamayo, Brett-Patrick Jenkins, Andrew Morrison, Howard T. Owens, Jaymee Messler, Maclain Way, Ben Silverman, Tom McNulty, Ryan Duffy",en,85,7.014,Documentary,en,27,0,1
4286,Action,"Shum Lo, Jin Bong-jin, James Nam Seok-Hoon, Lam Ching-Ying, Kim Ki-joo, Chuen Yuen, Ricky Hui, Huang Chin-feng, Tung Lam, Stephen Tung Wai, Wong Ching-Ho, Shih Szu, Tony Leung Siu-Hung, Fang Mian, Austin Wai Tin-Chi, Gam Tin-Chue, Chin Chun, Bruce Leung, King Lee King-Chu",Li Cho-Chien,Shaw Brothers,Jang Il-ho,Runme Shaw,zh,86,5.5,Action,zh,19,1,1
4287,"Adventure, Romance","Enzo Fiermonte, Tomás Blanco, Franco Pesce, Ángel del Pozo, Giovanni Petrucci, Livio Lorenzon, Xan das Bolas, Luciano Benetti, John Kitzmiller, Alberto Cevenini, Pilar Cansino, Amerigo Santarelli, Vicente Bañó, Conrado San Martín, Susana Canales, Franco Fantasia, Ugo Sasso, Marco Tulli, Diana Lorys, Alfredo Mayo, Anita Todesco, Amedeo Trilli, Virginia Mayo, Carla Calò, Marilù Sangiorgi","Luciano Vincenzoni, Antonio Boccaci, Carlo Musso, Piero Costa, Edoardo Falletti","Chapalo Film, Prodas Film",Piero Costa,Antonio Canelli,it,98,4.0,Adventure,it,25,5,1
4288,Documentary,Unknown,Unknown,Unknown,J.R. Biersmith,Unknown,en,86,8.0,Documentary,en,0,0,1
4289,Drama,"Nurzhuman Ihtymbaev, Gennadi Yudin, Asanali Ashimov, Vladislav Strzhelchik, Nina Li, Zeinullat Setekov, Boris Ivanov, Vladimir Gusev, Altynai Yeleuova, Alina Nemchenko, Nurmukhan Zhanturin, Yuriy Sarantsev, Viktor Avdyushko","Andrei Konchalovsky, Andrei Tarkovsky, Edward Tropinin",Kazakhfilm Studios,Shaken Aimanov,Unknown,ru,146,4.8,Drama,ru,13,3,1
